Values,Timestamp,Moving Average,MA_1000,MA_5000,Voltage Change,Time Difference,Rate of Change
97,2024-06-26 09:57:38,97.8,,,-1.0,16.0,-0.0625
92,2024-06-26 10:58:56,92.8,,,-1.0,32.0,-0.03125
82,2024-06-26 11:49:32,82.8,,,-1.0,15.0,-0.06666666666666667
78,2024-06-26 12:01:06,78.8,,,-1.0,18.0,-0.05555555555555555
61,2024-06-26 12:55:00,61.6,,,0.0,16.0,0.0
58,2024-06-26 13:06:17,58.6,,,0.0,18.0,0.0
41,2024-06-26 14:05:23,41.2,76.711,,0.0,16.0,0.0
80,2024-06-26 15:53:00,80.8,75.225,,-1.0,16.0,-0.0625
42,2024-06-26 18:14:03,42.8,61.595,,-1.0,17.0,-0.058823529411764705
32,2024-06-26 20:57:58,32.0,45.873,,0.0,16.0,0.0
84,2024-06-27 00:33:20,84.8,65.218,,-1.0,16.0,-0.0625
56,2024-06-27 02:32:57,56.2,74.131,,0.0,16.0,0.0
76,2024-06-27 03:54:23,76.8,78.557,,-1.0,82.0,-0.012195121951219513
70,2024-06-27 04:24:22,70.8,80.802,,-1.0,17.0,-0.058823529411764705
61,2024-06-27 05:04:30,61.8,80.991,,-1.0,16.0,-0.0625
59,2024-06-27 05:11:40,59.8,80.418,,-1.0,16.0,-0.0625
42,2024-06-27 06:20:42,42.8,69.681,,-1.0,17.0,-0.058823529411764705
40,2024-06-27 06:33:35,40.8,67.173,,-1.0,17.0,-0.058823529411764705
38,2024-06-27 06:54:47,38.8,63.091,,-1.0,17.0,-0.058823529411764705
38,2024-06-27 06:59:11,38.0,62.228,,0.0,17.0,0.0
92,2024-06-27 15:25:52,92.8,67.994,,-1.0,15.0,-0.06666666666666667
86,2024-06-27 15:52:33,86.8,69.503,,-1.0,16.0,-0.0625
44,2024-06-27 18:33:25,44.4,70.311,,0.0,16.0,0.0
73,2024-06-27 20:38:38,73.8,77.325,,-1.0,17.0,-0.058823529411764705
36,2024-06-27 23:03:49,36.8,60.802,65.4428,-1.0,34.0,-0.029411764705882353
28,2024-06-28 01:05:36,28.4,44.848,60.4856,0.0,15.0,0.0
88,2024-06-28 11:30:29,88.8,70.266,64.2274,-1.0,16.0,-0.0625
75,2024-06-28 12:54:21,75.0,85.741,66.084,0.0,32.0,0.0
58,2024-06-28 14:02:50,58.0,85.496,67.1542,0.0,17.0,0.0
56,2024-06-28 14:12:43,56.6,83.913,67.3072,0.0,15.0,0.0
47,2024-06-28 14:51:30,47.2,78.549,67.6724,0.0,17.0,0.0
76,2024-06-28 15:45:34,77.2,78.16,67.7728,-1.0,66.0,-0.015151515151515152
71,2024-06-28 16:06:10,71.8,77.185,68.1248,-1.0,16.0,-0.0625
65,2024-06-28 16:27:37,65.8,75.142,68.7034,-1.0,2.0,-0.5
63,2024-06-28 16:34:28,63.8,74.425,68.8668,-1.0,16.0,-0.0625
53,2024-06-28 17:12:59,53.8,69.677,69.5504,-1.0,18.0,-0.05555555555555555
48,2024-06-28 17:29:10,48.8,68.259,69.5426,-1.0,16.0,-0.0625
47,2024-06-28 17:33:52,47.8,67.499,69.497,-1.0,16.0,-0.0625
44,2024-06-28 17:47:21,44.8,65.34,69.256,-1.0,17.0,-0.058823529411764705
42,2024-06-28 17:58:21,42.6,63.783,68.9894,0.0,15.0,0.0
36,2024-06-28 18:36:34,36.8,57.402,67.2994,-1.0,17.0,-0.058823529411764705
32,2024-06-28 19:27:59,32.0,50.007,64.9342,0.0,17.0,0.0
97,2024-06-28 22:25:48,97.8,55.602,65.0364,-1.0,17.0,-0.058823529411764705
40,2024-06-29 03:50:13,40.0,70.125,66.4578,0.0,16.0,0.0
81,2024-06-29 05:25:14,81.8,65.989,65.6426,-1.0,17.0,-0.058823529411764705
56,2024-06-29 06:46:22,56.6,62.85,65.047,0.0,16.0,0.0
41,2024-06-29 08:19:37,41.8,53.885,64.1818,-1.0,18.0,-0.05555555555555555
41,2024-06-29 08:24:17,41.8,53.341,64.1576,-1.0,2.0,-0.5
38,2024-06-29 09:03:19,38.8,49.786,63.2548,-1.0,2.0,-0.5
38,2024-06-29 09:14:53,38.0,48.689,62.8668,0.0,2.0,0.0
91,2024-06-29 13:41:25,91.6,67.66,67.227,0.0,15.0,0.0
91,2024-06-29 13:43:05,91.8,67.934,67.2998,-1.0,18.0,-0.05555555555555555
66,2024-06-29 17:07:21,66.8,86.128,69.256,-1.0,17.0,-0.058823529411764705
64,2024-06-29 17:15:19,64.8,85.158,69.098,-1.0,1.0,-1.0
38,2024-06-29 19:05:52,38.2,70.443,66.5538,0.0,17.0,0.0
75,2024-06-29 20:10:08,75.8,69.765,66.4794,-1.0,16.0,-0.0625
47,2024-06-29 22:01:29,47.6,60.162,66.1028,0.0,2.0,0.0
32,2024-06-29 23:29:12,32.0,50.645,64.3756,0.0,16.0,0.0
88,2024-06-30 06:06:24,88.8,64.56,69.0122,-1.0,16.0,-0.0625
44,2024-06-30 09:13:57,44.2,77.717,66.541,0.0,16.0,0.0
66,2024-06-30 11:38:31,66.8,74.384,66.7962,-1.0,17.0,-0.058823529411764705
59,2024-06-30 12:02:26,59.8,72.025,66.7608,-1.0,16.0,-0.0625
48,2024-06-30 12:27:44,48.6,68.995,66.6778,0.0,15.0,0.0
38,2024-06-30 12:59:05,38.8,64.15,66.5702,-1.0,16.0,-0.0625
33,2024-06-30 13:19:27,33.6,60.633,66.4944,0.0,18.0,0.0
25,2024-06-30 14:42:45,25.8,48.837,64.758,-1.0,16.0,-0.0625
25,2024-06-30 14:48:48,25.0,48.332,64.6754,0.0,16.0,0.0
90,2024-06-30 21:12:48,90.8,64.73,70.0752,-1.0,1.0,-1.0
82,2024-06-30 22:30:04,82.8,78.076,70.1728,-1.0,16.0,-0.0625
67,2024-06-30 23:40:27,67.8,84.928,69.5726,-1.0,395.0,-0.002531645569620253
67,2024-06-30 23:41:16,67.6,85.053,69.5568,-1.0,17.0,-0.058823529411764705
67,2024-06-30 23:41:50,67.6,85.178,69.541,-1.0,16.0,-0.0625
60,2024-07-01 00:19:14,60.0,87.669,69.009,0.0,16.0,0.0
79,2024-07-01 01:28:59,79.6,86.121,68.8064,0.0,16.0,0.0
65,2024-07-01 02:52:33,65.8,79.668,67.9702,-1.0,15.0,-0.06666666666666667
48,2024-07-01 04:16:25,48.8,69.3,66.5426,-1.0,18.0,-0.05555555555555555
47,2024-07-01 04:22:29,47.8,68.328,66.4182,-1.0,16.0,-0.0625
43,2024-07-01 05:08:23,43.0,62.772,65.7586,0.0,16.0,0.0
85,2024-07-01 13:06:07,85.8,74.874,69.613,-1.0,17.0,-0.058823529411764705
49,2024-07-01 15:24:43,49.8,80.781,71.7466,-1.0,17.0,-0.058823529411764705
46,2024-07-01 15:36:32,46.6,79.445,71.8176,0.0,17.0,0.0
52,2024-07-01 18:52:30,52.6,70.285,71.1914,0.0,17.0,0.0
43,2024-07-01 19:37:52,43.6,64.114,69.812,0.0,16.0,0.0
34,2024-07-01 21:06:41,34.4,53.733,66.979,0.0,16.0,0.0
33,2024-07-01 21:27:52,33.8,51.828,66.3694,-1.0,17.0,-0.058823529411764705
32,2024-07-01 21:41:54,32.0,50.805,66.0034,0.0,18.0,0.0
94,2024-07-01 23:42:30,94.8,49.596,66.6666,-1.0,17.0,-0.058823529411764705
89,2024-07-02 00:18:47,89.8,53.548,66.8714,-1.0,33.0,-0.030303030303030304
61,2024-07-02 02:25:16,61.8,63.507,68.0622,-1.0,2.0,-0.5
58,2024-07-02 02:55:14,58.0,64.434,68.2324,0.0,16.0,0.0
75,2024-07-02 04:09:19,75.8,67.183,68.8098,-1.0,16.0,-0.0625
63,2024-07-02 05:05:24,63.8,72.212,69.9308,-1.0,17.0,-0.058823529411764705
40,2024-07-02 06:50:43,40.8,65.564,68.9962,-1.0,14.0,-0.07142857142857142
36,2024-07-02 07:26:45,36.0,58.78,67.3924,0.0,17.0,0.0
93,2024-07-02 15:08:41,93.8,65.028,67.4568,-1.0,15.0,-0.06666666666666667
83,2024-07-02 16:11:54,83.8,69.07,67.6732,-1.0,15.0,-0.06666666666666667
81,2024-07-02 16:22:21,81.6,69.903,67.7264,0.0,15.0,0.0
80,2024-07-02 16:26:46,80.8,70.256,67.751,-1.0,16.0,-0.0625
70,2024-07-02 17:10:45,70.8,73.628,68.02,-1.0,16.0,-0.0625
53,2024-07-02 18:18:08,53.8,78.701,67.4288,-1.0,16.0,-0.0625
43,2024-07-02 18:54:59,43.6,75.962,67.081,0.0,16.0,0.0
51,2024-07-02 22:09:35,51.8,68.279,68.8726,-1.0,16.0,-0.0625
48,2024-07-02 22:16:44,48.8,67.459,68.623,-1.0,16.0,-0.0625
36,2024-07-02 23:03:13,36.8,61.241,66.6408,-1.0,15.0,-0.06666666666666667
34,2024-07-02 23:18:04,34.8,59.489,66.0348,-1.0,16.0,-0.0625
31,2024-07-02 23:43:27,31.8,57.414,65.2742,-1.0,16.0,-0.0625
30,2024-07-02 23:48:57,30.8,56.681,64.9936,-1.0,16.0,-0.0625
29,2024-07-03 00:09:09,29.8,55.46,64.509,-1.0,16.0,-0.0625
29,2024-07-03 00:13:15,29.0,54.964,64.3048,0.0,16.0,0.0
